Index,Force,Moduli,Poisson Ratio
0.000000,60.852800,1.240085,-0.823175
1.000000,149.444000,5.274348,-0.881841
10.000000,50.586600,0.854284,-1.208220
100.000000,85.106900,1.547209,-1.167533
101.000000,19.350500,0.256545,-0.850077
102.000000,110.814000,3.172549,-0.843850
103.000000,97.860100,2.654116,-0.939939
104.000000,1419.350000,7.092197,-0.766180
105.000000,70.531300,1.298604,-0.831053
106.000000,444.562000,3.667754,-0.628832
107.000000,197.115000,8.050994,-0.850352
108.000000,198.166000,6.605422,-0.973919
109.000000,186.989000,1.329738,-0.746973
11.000000,329.831000,16.647367,-0.791708
110.000000,633.304000,7.818430,-0.513598
111.000000,167.854000,4.939008,-0.888941
112.000000,28.740200,0.419805,-0.913285
113.000000,1387.760000,7.605046,-0.854787
114.000000,84.596200,1.934841,-0.838565
115.000000,185.588000,5.002915,-0.902874
116.000000,35.522100,0.552981,-1.042199
117.000000,702.548000,3.523574,-0.868045
118.000000,126.918000,2.868903,-1.033520
119.000000,290.782000,2.155670,-0.479802
12.000000,302.410000,14.809647,-0.807771
120.000000,971.128000,13.233815,-0.755784
121.000000,180.063000,6.161165,-1.047645
122.000000,236.352000,10.739226,-0.795900
123.000000,1413.960000,8.267095,-0.435495
124.000000,55.395700,0.891369,-1.438454
125.000000,269.369000,11.337025,-0.952185
126.000000,50.830100,0.743037,-0.417692
127.000000,91.460800,2.122439,-0.425217
128.000000,33.719500,0.485749,-0.876028
129.000000,168.470000,5.941175,-0.898873
13.000000,286.060000,2.506260,-0.847781
130.000000,29.492800,0.475865,-0.694580
131.000000,74.802000,1.376877,-1.479263
132.000000,51.333200,0.784284,-1.068379
133.000000,1272.630000,7.159060,-0.824622
134.000000,258.981000,11.260139,-0.946861
135.000000,1120.570000,6.608984,-0.717519
136.000000,130.121000,3.046880,-1.006542
137.000000,44.255000,0.638967,-0.628408
138.000000,702.188000,8.190505,-0.705353
139.000000,613.234000,7.207016,-0.555403
14.000000,160.341000,4.089025,-1.249907
140.000000,352.430000,2.781817,-1.040027
141.000000,69.894900,1.157051,-0.475014
142.000000,266.349000,9.629323,-1.269826
143.000000,277.132000,2.451313,-0.588945
144.000000,25.548800,0.365787,-0.720080
145.000000,1451.900000,7.815042,-0.854377
146.000000,76.384800,1.938339,-0.741513
147.000000,147.928000,3.828218,-0.458638
148.000000,213.116000,1.582403,-0.583560
149.000000,794.763000,11.090031,-0.723011
15.000000,1464.650000,7.258358,-0.879585
150.000000,1981.840000,10.477895,-0.847450
151.000000,1414.920000,6.754359,-0.622723
152.000000,57.132300,1.224157,-0.855578
153.000000,516.536000,4.476170,-0.455777
154.000000,290.570000,2.370855,-0.934034
155.000000,435.961000,3.912123,-0.614343
156.000000,1080.190000,5.228089,-0.590800
157.000000,31.161500,0.486978,-0.982222
158.000000,848.354000,10.920290,-0.529240
159.000000,264.883000,10.280877,-0.729762
16.000000,162.861000,5.126832,-0.812995
160.000000,41.558900,0.825070,-0.566916
161.000000,178.144000,5.530812,-0.997955
162.000000,22.244300,0.311223,-0.887543
163.000000,1365.900000,5.803888,-0.535814
164.000000,406.258000,3.297591,-1.156192
165.000000,49.315600,0.997689,-0.788435
166.000000,129.590000,3.540406,-0.865958
167.000000,83.782500,1.824209,-0.616604
168.000000,198.305000,7.129042,-0.793371
169.000000,229.916000,8.872585,-0.855310
17.000000,919.941000,13.129256,-0.719029
170.000000,257.691000,2.178282,-0.554898
171.000000,178.753000,5.997602,-1.086724
172.000000,58.055700,0.948945,-1.001803
173.000000,89.727700,2.293433,-0.463878
174.000000,89.613500,2.268362,-0.949363
175.000000,51.682800,0.868482,-1.084758
176.000000,376.524000,18.242970,-0.795943
177.000000,23.868100,0.404756,-0.614361
178.000000,729.595000,8.293480,-0.946672
179.000000,67.465300,1.297420,-0.668042
18.000000,948.265000,5.230528,-0.543959
180.000000,749.198000,9.301383,-0.501530
181.000000,1706.510000,9.984247,-0.719024
182.000000,72.964300,1.181964,-0.638731
183.000000,128.518000,3.161901,-0.543114
184.000000,281.033000,2.246170,-0.664780
185.000000,326.771000,2.985349,-0.720571
186.000000,148.318000,4.581753,-0.622497
187.000000,406.869000,3.681052,-1.036324
188.000000,287.736000,2.184812,-1.067214
189.000000,109.074000,2.900628,-0.549153
19.000000,1184.910000,5.099664,-0.782647
190.000000,1342.060000,8.141238,-0.752159
191.000000,1612.310000,8.659870,-0.485264
192.000000,1068.480000,5.079024,-0.560827
193.000000,134.619000,3.843923,-0.456192
194.000000,1445.540000,7.464014,-0.457996
195.000000,796.014000,3.840544,-0.748283
196.000000,248.462000,2.126091,-0.684262
197.000000,413.686000,3.535819,-0.956955
198.000000,102.282000,2.225417,-1.365651
199.000000,96.528100,2.325017,-0.805741
2.000000,52.108200,0.798819,-0.451485
20.000000,214.875000,6.369489,-0.534901
200.000000,358.640000,2.753615,-0.476070
201.000000,80.967500,2.018718,-0.793498
202.000000,151.854000,1.018385,-0.800559
203.000000,910.941000,4.913481,-0.798915
204.000000,18.399800,0.243914,-0.606077
205.000000,37.652900,0.727058,-0.692699
206.000000,736.229000,9.913784,-0.763496
207.000000,430.175000,3.594176,-1.290631
208.000000,1043.960000,4.151833,-0.577403
209.000000,31.752400,0.470351,-0.843572
21.000000,378.487000,3.782824,-0.527161
210.000000,240.286000,8.474154,-1.246150
211.000000,183.650000,5.704581,-0.944135
212.000000,104.706000,3.061424,-0.861784
213.000000,1135.370000,6.876331,-0.837488
214.000000,50.555800,0.831642,-0.300501
215.000000,147.581000,3.927875,-0.807039
216.000000,71.810300,1.408007,-0.296818
217.000000,62.218700,0.999505,-0.706730
218.000000,43.922700,0.715262,-0.919890
219.000000,1103.040000,6.541367,-0.763032
22.000000,29.617300,0.509205,-0.506546
220.000000,310.579000,13.531404,-0.981167
221.000000,33.708800,0.488705,-0.794520
222.000000,188.479000,6.382007,-1.115922
223.000000,987.718000,4.574194,-0.807953
224.000000,1022.990000,5.156059,-0.531352
225.000000,674.122000,8.480492,-0.993551
226.000000,286.686000,10.749373,-0.881901
227.000000,811.925000,11.379016,-0.777006
228.000000,456.136000,26.318158,-0.868976
229.000000,1514.930000,6.862358,-0.788923
23.000000,124.163000,3.312680,-0.541463
230.000000,266.243000,1.958216,-0.861685
231.000000,23.847300,0.346510,-0.483913
232.000000,1280.800000,5.526149,-0.751705
233.000000,357.053000,16.743527,-0.830718
234.000000,30.610000,0.425901,-0.414495
